Formula,Flexural Strength,Temperature
BeO,164.0,20
BeO,205.0,20
BeO,185.0,20
BeO,102.0,300
BeO,117.0,300
BeO,143.0,300
BeO,242.0,300
BeO,263.0,300
BeO,88.0,300
BeO,150.0,300
BeO,201.0,300
BeO,246.0,300
BeO,219.0,300
BeO,111.0,300
BeO,161.0,300
BeO,210.0,300
BeO,187.0,300
BeO,93.0,500
BeO,119.0,500
BeO,139.0,500
BeO,241.0,500
BeO,232.0,500
BeO,137.0,500
BeO,189.0,500
BeO,208.0,500
BeO,268.0,500
BeO,257.0,500
BeO,108.0,500
BeO,166.0,500
BeO,229.0,500
BeO,200.0,500
BeO,132.0,800
BeO,157.0,800
BeO,173.0,800
BeO,233.0,800
BeO,216.0,800
BeO,108.0,800
BeO,194.0,800
BeO,199.0,800
BeO,232.0,800
BeO,221.0,800
BeO,136.0,800
BeO,164.0,800
BeO,212.0,800
BeO,169.0,800
BeO,123.0,1000
BeO,142.0,1000
BeO,172.0,1000
BeO,174.0,1000
BeO,163.0,1000
BeO,143.0,1000
BeO,195.0,1000
BeO,188.0,1000
BeO,189.0,1000
BeO,150.0,1000
BeO,130.0,1000
BeO,141.0,1000
BeO,170.0,1000
BeO,148.0,1000
BeO,123.0,1200
BeO,157.0,1200
BeO,158.0,1200
BeO,140.0,1200
BeO,130.0,1200
BeO,136.0,1200
BeO,123.0,1200
BeO,148.0,1200
BeO,154.0,1200
BeO,134.0,1200
BeO,124.0,1200
BeO,117.0,1200
BeO,125.0,1200
BeO,114.0,1200
Al2O3,370.0,293
SiC,537.0,1000
SiC,517.0,1200
SiC,582.0,1400
SiC,454.0,20
SiC,658.0,1000
SiC,496.0,1200
SiC,511.0,1400
AlN,250.0,23
ZrO2,621.0,25
ZrO2,566.0,25
ZrO2,448.0,250
ZrO2,270.0,800
ZrO2,248.0,1050
ZrO2,254.0,1050
ZrO2,615.0,25
ZrO2,546.0,25
ZrO2,460.0,250
ZrO2,363.0,500
ZrO2,249.0,800
ZrO2,247.0,1050
ZrO2,254.0,1050
ZrO2,622.0,25
ZrO2,564.0,25
ZrO2,490.0,250
ZrO2,356.0,500
ZrO2,214.0,800
ZrO2,679.0,25
ZrO2,638.0,25
ZrO2,540.0,250
ZrO2,525.0,250
ZrO2,299.0,800
ZrO2,282.0,800
ZrO2,248.0,1050
ZrO2,225.0,1050
Si3N4,749.0,20
Si3N4,790.0,1000
Si3N4,622.0,1200
Si3N4,364.0,1400
Si3N4,907.0,20
Si3N4,741.0,1000
Si3N4,686.0,1200
Si3N4,610.0,1400
AlN,310.0,330
AlN,240.0,1300
AlN,240.0,330
AlN,190.0,1100
AlN,210.0,1300
AlN,180.0,1500
AlN,130.0,330
AlN,100.0,1100
AlN,110.0,1300
AlN,95.0,1500
AlN,90.0,330
AlN,86.0,1100
AlN,76.0,1300
AlN,67.0,1500
SiC,348.0,20
SiC,355.0,200
SiC,348.0,400
SiC,362.0,600
SiC,344.0,800
SiC,369.0,1000
SiC,379.0,1200
SiC,403.0,1400
ZrB2,300.0,23
ZrB2,390.0,690
ZrB2,290.0,1000
ZrB2,200.0,1400
Al2O3,500.0,25
Al2O3,380.0,20
Al2O3,375.0,500
Al2O3,345.0,1000
Al2O3,300.0,1200
Al2O3,210.0,1400
Al2O3,130.0,1500
TiB2,400.0,20
TiB2,429.0,500
TiB2,459.0,1000
TiB2,471.0,1200
TiB2,489.0,1500
SiC,450.0,20
SiC,480.0,1000
SiC,490.0,1200
SiC,520.0,1400
SiC,540.0,1690
SiC,500.0,23
SiC,300.0,1400
Si3N4,590.0,1400
Si3N4,531.0,23
SiC,595.0,22
SiC,385.0,22
SiC,429.0,22
SiC,422.0,22
SiC,651.0,25
SiC,443.0,25
SiC,643.0,25
SiC,707.0,25
SiC,618.0,1000
SiC,546.0,1200
SiC,490.0,1300
SiC,384.0,25
SiC,409.0,1000
SiC,428.0,1150
SiC,364.0,1300
