Formula,Elastic Modulus,Temperature
Al2O3,366.4,1000
Al2O3,363.5,1050
Al2O3,360.7,1100
Al2O3,357.9,1150
Al2O3,355.0,1200
Al2O3,352.0,1250
Al2O3,349.1,1300
Al2O3,346.1,1350
Al2O3,343.3,1400
Al2O3,340.5,1450
Al2O3,337.8,1500
Al2O3,334.9,1550
Al2O3,332.1,1600
Al2O3,329.5,1650
Al2O3,326.6,1700
Al2O3,323.8,1750
Al2O3,320.9,1800
Al2O3,319.5,1825
Al2O3,86.2,25
Al2O3,86.9,200
Al2O3,86.2,400
Al2O3,84.1,600
Al2O3,82.0,800
Al2O3,95.8,25
Al2O3,92.4,200
Al2O3,93.1,400
Al2O3,93.8,600
Al2O3,91.7,800
Al2O3,84.1,1000
Al2O3,75.8,1100
Al2O3,64.1,1200
Al2O3,113.1,25
Al2O3,111.7,200
Al2O3,108.9,400
Al2O3,108.9,600
Al2O3,102.7,800
Al2O3,92.4,1000
Al2O3,84.8,1100
Al2O3,72.4,1200
Al2O3,144.8,25
Al2O3,144.1,200
Al2O3,140.6,400
Al2O3,139.9,600
Al2O3,136.5,800
Al2O3,124.8,1000
Al2O3,111.0,1100
Al2O3,154.4,25
Al2O3,152.4,200
Al2O3,150.3,400
Al2O3,146.8,600
Al2O3,142.0,800
Al2O3,131.7,1000
Al2O3,120.6,1100
Al2O3,102.7,1200
Al2O3,188.2,25
Al2O3,186.1,200
Al2O3,181.3,400
Al2O3,176.5,600
Al2O3,174.4,800
Al2O3,153.7,1000
Al2O3,140.6,1100
Al2O3,121.3,1200
Al2O3,245.4,25
Al2O3,243.4,200
Al2O3,239.9,400
Al2O3,232.3,600
Al2O3,220.6,800
Al2O3,211.0,1000
Al2O3,196.5,1100
Al2O3,171.7,1200
Al2O3,298.5,25
Al2O3,300.6,200
Al2O3,291.6,400
Al2O3,289.5,600
Al2O3,282.0,800
Al2O3,273.0,1000
Al2O3,255.1,1100
Al2O3,228.9,1200
TiC,460.0,23
Si3N4,320.0,23
Si3N4,185.0,23
SiC,412.0,20
SiC,412.0,1000
SiC,385.0,1250
SiC,379.0,1350
TiB2,540.0,23
SiC,402.0,23
Si3N4,314.0,25
Al2O3,416.0,20
Al2O3,390.0,500
Al2O3,364.0,1000
Al2O3,354.0,1200
Al2O3,343.0,1400
Al2O3,338.0,1500
Dy2O3,141.4,20
Dy2O3,136.5,20
Dy2O3,132.4,20
Dy2O3,130.3,20
Dy2O3,116.5,20
Dy2O3,112.4,20
Dy2O3,86.9,20
Dy2O3,84.1,20
Dy2O3,46.2,20
Dy2O3,42.1,20
Dy2O3,29.0,20
Dy2O3,14.5,20
Dy2O3,12.4,20
Dy2O3,12.4,20
Dy2O3,7.6,20
Dy2O3,19.1,20
Dy2O3,19.1,74
Dy2O3,19.1,93
Dy2O3,19.0,123
Dy2O3,18.9,181
Dy2O3,18.8,216
Dy2O3,18.7,265
Dy2O3,18.6,250
Dy2O3,18.6,318
Dy2O3,18.5,348
Dy2O3,18.4,397
Dy2O3,18.3,436
Dy2O3,18.2,480
Dy2O3,18.1,524
Dy2O3,18.0,558
Dy2O3,17.9,607
Dy2O3,17.8,637
Dy2O3,17.7,671
Dy2O3,17.7,695
Dy2O3,17.5,808
Dy2O3,17.4,837
Dy2O3,17.1,886
Dy2O3,17.0,891
Dy2O3,16.9,896
Dy2O3,16.8,915
Dy2O3,15.9,1052
Si3N4,300.0,23
Si3N4,175.0,1400
Si3N4,320.0,23
MgAl2O4,258.0,23
MgAl2O4,206.0,23
MgAl2O4,196.0,800
MgAl2O4,195.0,1000
MgAl2O4,189.0,1200
MgAl2O4,173.0,1300
TiB2,370.0,23
TiB2,360.0,190
TiB2,360.0,410
TiB2,360.0,630
TiB2,360.0,810
TiB2,360.0,990
TiB2,350.0,1200
TiB2,320.0,1400
TiB2,290.0,1600
TiB2,250.0,1800
TiB2,220.0,2000
TiB2,430.0,23
TiB2,420.0,800
TiB2,410.0,1000
TiB2,410.0,1200
TiB2,400.0,1400
TiB2,390.0,1600
TiB2,360.0,1800
TiB2,340.0,2000
ZrO2,197.0,25
ZrO2,191.0,25
ZrO2,194.0,25
ZrO2,184.0,25
ZrO2,181.0,25
ZrO2,165.0,25
ZrO2,108.0,25
ZrO2,188.0,25
ZrO2,187.0,25
ZrO2,155.0,25
ZrO2,104.0,25
ZrO2,199.0,50
ZrO2,163.0,50
ZrO2,134.0,50
ZrO2,110.0,50
ZrO2,197.0,100
ZrO2,161.0,100
ZrO2,132.0,100
ZrO2,109.0,100
ZrO2,192.0,200
ZrO2,158.0,200
ZrO2,130.0,200
ZrO2,107.0,200
ZrO2,181.0,400
ZrO2,148.0,400
ZrO2,121.0,400
ZrO2,99.0,400
ZrO2,167.0,600
ZrO2,138.0,600
ZrO2,114.0,600
ZrO2,95.0,600
ZrO2,149.0,800
ZrO2,128.0,800
ZrO2,110.0,800
ZrO2,94.0,800
ZrO2,131.0,1000
ZrO2,113.0,1000
ZrO2,97.0,1000
ZrO2,83.0,1000
ZrO2,150.0,293
ZrO2,158.0,1073
ZrO2,153.0,1273
ZrO2,118.0,1673
ZrO2,173.0,293
Tm2O3,162.8,20
Tm2O3,161.4,96
Tm2O3,160.9,152
Tm2O3,160.0,217
Tm2O3,159.1,290
Tm2O3,158.2,367
Tm2O3,157.3,428
Tm2O3,155.9,518
Tm2O3,155.0,597
Tm2O3,153.6,654
Tm2O3,152.7,711
Tm2O3,151.4,795
Tm2O3,150.0,857
Tm2O3,149.5,896
Tm2O3,148.2,964
Tm2O3,147.7,1000
TiN,640.0,23
BeO,378.0,23
Si3N4,300.0,22
Al2O3,403.0,296
Al2O3,400.9,350
Al2O3,398.5,400
Al2O3,396.0,450
Al2O3,393.5,500
Al2O3,380.8,550
Al2O3,389.3,600
Al2O3,385.6,650
Al2O3,382.8,700
Al2O3,380.2,750
Al2O3,377.4,800
Al2O3,374.7,850
Al2O3,372.0,900
Al2O3,369.2,950
Al2O3,366.4,1000
Al2O3,363.5,1050
Al2O3,360.7,1100
Al2O3,357.9,1150
Al2O3,355.0,1200
Al2O3,352.0,1250
Al2O3,349.1,1300
Al2O3,346.1,1350
Al2O3,343.3,1400
Al2O3,340.5,1450
Al2O3,337.8,1500
Al2O3,334.9,1550
Al2O3,332.1,1600
Al2O3,329.5,1650
Al2O3,326.6,1700
Al2O3,323.8,1750
Al2O3,320.9,1800
Al2O3,319.5,1825
SiC,138.0,651
SiC,166.0,676
SiC,178.0,701
SiC,194.0,749
SiC,180.0,800
SiC,146.0,851
SiC,144.0,603
SiC,178.0,651
SiC,223.0,703
SiC,204.0,749
SiC,249.0,802
SiC,317.0,851
SiC,378.0,22
SiC,326.0,1100
SiC,304.0,1200
SiC,195.0,1400
SiC,189.0,1500
Si3N4,309.0,23
SiC,427.0,20
SiC,401.0,1000
SiC,394.0,1400
Si3N4,290.0,23
SiC,412.0,20
SiC,412.0,1000
SiC,385.0,1250
SiC,379.0,1350
Al2O3,378.0,23
TiB2,540.0,23
TiC,460.0,23
Si3N4,318.0,23
Si3N4,317.0,400
Si3N4,305.0,799
Si3N4,288.0,999
Si3N4,234.0,1201
Si3N4,318.0,23
Si3N4,317.0,400
Si3N4,305.0,799
Si3N4,288.0,999
Si3N4,234.0,1201
Si3N4,306.0,20
Si3N4,296.0,1000
Si3N4,292.0,1250
Si3N4,291.0,1350
HfB2,510.0,23
AlN,308.0,23
Si2N2O,278.0,23
AlN,280.0,23
ThO2,137.0,20
BaTiO3,114.0,114
BaTiO3,112.0,124
BaTiO3,109.0,133
BaTiO3,107.0,143
BaTiO3,101.0,155
BaTiO3,97.0,162
BaTiO3,93.0,171
BaTiO3,87.0,173
BaTiO3,77.0,178
BaTiO3,69.0,183
BaTiO3,69.0,183
BaTiO3,75.0,188
BaTiO3,79.0,192
BaTiO3,79.0,197
BaTiO3,79.0,209
BaTiO3,79.0,218
BaTiO3,77.0,235
BaTiO3,77.0,244
BaTiO3,75.0,256
BaTiO3,75.0,263
BaTiO3,75.0,268
BaTiO3,75.0,273
BaTiO3,71.0,275
BaTiO3,67.0,280
BaTiO3,67.0,280
BaTiO3,69.0,287
BaTiO3,71.0,292
BaTiO3,73.0,303
BaTiO3,79.0,311
BaTiO3,83.0,320
BaTiO3,87.0,334
BaTiO3,88.0,346
BaTiO3,90.0,358
BaTiO3,92.0,370
BaTiO3,92.0,379
BaTiO3,92.0,386
BaTiO3,88.0,393
BaTiO3,86.0,398
BaTiO3,86.0,398
BaTiO3,123.0,401
BaTiO3,133.0,403
BaTiO3,141.0,408
BaTiO3,149.0,410
BaTiO3,156.0,413
BaTiO3,160.0,420
BaTiO3,108.0,193
BaTiO3,102.0,202
BaTiO3,98.0,211
BaTiO3,94.0,218
BaTiO3,90.0,222
BaTiO3,90.0,227
BaTiO3,90.0,229
BaTiO3,90.0,229
BaTiO3,90.0,236
BaTiO3,90.0,253
BaTiO3,89.0,262
BaTiO3,89.0,274
BaTiO3,89.0,283
BaTiO3,87.0,290
BaTiO3,85.0,297
BaTiO3,85.0,299
BaTiO3,86.0,304
BaTiO3,86.0,304
BaTiO3,88.0,309
BaTiO3,92.0,318
BaTiO3,98.0,325
BaTiO3,101.0,332
BaTiO3,107.0,342
BaTiO3,115.0,354
BaTiO3,120.0,363
BaTiO3,126.0,378
BaTiO3,129.0,389
BaTiO3,133.0,394
BaTiO3,137.0,404
BaTiO3,137.0,404
BaTiO3,148.0,404
BaTiO3,156.0,409
BaTiO3,166.0,412
BaTiO3,175.0,419
BaTiO3,132.0,175
BaTiO3,124.0,187
BaTiO3,118.0,201
BaTiO3,114.0,210
BaTiO3,111.0,220
BaTiO3,107.0,232
BaTiO3,107.0,232
BaTiO3,105.0,239
BaTiO3,107.0,253
BaTiO3,109.0,271
BaTiO3,111.0,281
BaTiO3,113.0,295
BaTiO3,118.0,304
BaTiO3,118.0,304
